Issue,Date,Words,Title,Author
Vol. 1 No. 1,25 October 1979,1723,Lawrence and the Mince-Pies,Dan Jacobson
Vol. 1 No. 1,25 October 1979,1168,Emma Rothschild writes about a new French book on the economics of illness,Emma Rothschild
Vol. 1 No. 1,25 October 1979,1792,Francis Wyndham on the magic of Heathcote Williams,Francis Wyndham
Vol. 1 No. 1,25 October 1979,2103,Apocalypse Now and Then,Frank Kermode
Vol. 1 No. 1,25 October 1979,1660,‘Darkness Visible’ is William Golding’s first novel for twelve years,John Bayley
Vol. 1 No. 1,25 October 1979,3172,Salim and Yvette,Karl Miller
Vol. 1 No. 1,25 October 1979,1428,Sidney and Beatrice,Michael Holroyd
Vol. 1 No. 1,25 October 1979,2317,Conservative Policy and the Universities,Ralf Dahrendorf
Vol. 1 No. 1,25 October 1979,2386,Dictionaries,Randolph Quirk
Vol. 1 No. 1,25 October 1979,1304,Foremost Economist,Rosalind Mitchison
Vol. 1 No. 1,25 October 1979,606,Two Poems,Seamus Heaney
Vol. 1 No. 1,25 October 1979,2449,Human Nature,Stuart Hampshire
Vol. 1 No. 1,25 October 1979,100,Poem: ‘Night Arrival of Sea-Trout’,Ted Hughes
Vol. 1 No. 1,25 October 1979,3471,Fairy Flight in ‘A Midsummer Night’s Dream’,William Empson
Vol. 1 No. 1,25 October 1979,1712,Wynne Godley asks if Britain will have to withdraw from Europe,Wynne Godley
Vol. 1 No. 2,8 November 1979,1757,Tired Titan,A.B. Cooke
Vol. 1 No. 2,8 November 1979,2202,"The Mouth, the Meal and the Book",Christopher Ricks
Vol. 1 No. 2,8 November 1979,1388,McGahern’s Ireland,D.J. Enright
Vol. 1 No. 2,8 November 1979,4741,Preconditions for an Irish Peace,Garret FitzGerald
Vol. 1 No. 2,8 November 1979,1350,Snowdunnit,Ian Hamilton
Vol. 1 No. 2,8 November 1979,1826,Bullies,Jane Miller
Vol. 1 No. 2,8 November 1979,2613,Supersellers,John Sutherland
